Name,Core Voltage,LEs,Memory Bits,PLL
EP1C3T100A8,1.5V,2910,59904,1
EP1C3T100C6,1.5V,2910,59904,1
EP1C3T100C7,1.5V,2910,59904,1
EP1C3T100C8,1.5V,2910,59904,1
EP1C3T100I7,1.5V,2910,59904,1
EP1C3T144A8,1.5V,2910,59904,1
EP1C3T144C6,1.5V,2910,59904,1
EP1C3T144C7,1.5V,2910,59904,1
EP1C3T144C8,1.5V,2910,59904,1
EP1C3T144I7,1.5V,2910,59904,1
EP1C4F324C6,1.5V,4000,78336,2
EP1C4F324C7,1.5V,4000,78336,2
EP1C4F324C8,1.5V,4000,78336,2
EP1C4F324I7,1.5V,4000,78336,2
EP1C4F400C6,1.5V,4000,78336,2
EP1C4F400C7,1.5V,4000,78336,2
EP1C4F400C8,1.5V,4000,78336,2
EP1C4F400I7,1.5V,4000,78336,2
EP1C6F256C6,1.5V,5980,92160,2
EP1C6F256C7,1.5V,5980,92160,2
EP1C6F256C8,1.5V,5980,92160,2
EP1C6F256I7,1.5V,5980,92160,2
EP1C6Q240C6,1.5V,5980,92160,2
EP1C6Q240C7,1.5V,5980,92160,2
EP1C6Q240C8,1.5V,5980,92160,2
EP1C6Q240I7,1.5V,5980,92160,2
EP1C6T144C6,1.5V,5980,92160,2
EP1C6T144C7,1.5V,5980,92160,2
EP1C6T144C8,1.5V,5980,92160,2
EP1C6T144I7,1.5V,5980,92160,2
EP1C12F256C6,1.5V,12060,239616,2
EP1C12F256C7,1.5V,12060,239616,2
EP1C12F256C8,1.5V,12060,239616,2
EP1C12F256I7,1.5V,12060,239616,2
EP1C12F324C6,1.5V,12060,239616,2
EP1C12F324C7,1.5V,12060,239616,2
EP1C12F324C8,1.5V,12060,239616,2
EP1C12F324I7,1.5V,12060,239616,2
EP1C12Q240C6,1.5V,12060,239616,2
EP1C12Q240C7,1.5V,12060,239616,2
EP1C12Q240C8,1.5V,12060,239616,2
EP1C12Q240I7,1.5V,12060,239616,2
EP1C20F324C6,1.5V,20060,294912,2
EP1C20F324C7,1.5V,20060,294912,2
EP1C20F324C8,1.5V,20060,294912,2
EP1C20F324I7,1.5V,20060,294912,2
EP1C20F400C6,1.5V,20060,294912,2
EP1C20F400C7,1.5V,20060,294912,2
EP1C20F400C8,1.5V,20060,294912,2
EP1C20F400I7,1.5V,20060,294912,2
